,character,quote,scene,location,view,episode,date,series,file
0,PICARD ,"   Captain's log, Stardate 43685.2   As part of a continuing exchange   program, the Enterprise is taking   aboard a Klingon officer to return   the recent visit of Commander   Riker to the cruiser Pagh.",1    EXT. SPACE - THE ENTERPRISE AND KLINGON SHIP (OPTICAL),SPACE - THE ENTERPRISE AND KLINGON SHIP,EXT.,Sins of the Father,1990-01-05,The Next Generation,165.txt
1,PICARD,"   We must take care that while he   is with us, Commander Kurn is   accorded all the rights and   responsibilities due the first   officer of this ship. If he   should feel patronized in any   way...",2    INT. CORRIDOR,CORRIDOR,INT.,Sins of the Father,1990-01-05,The Next Generation,165.txt
2,RIKER,"   We'd know about it, sir. One does   not patronize a Klingon warrior.",2    INT. CORRIDOR,CORRIDOR,INT.,Sins of the Father,1990-01-05,The Next Generation,165.txt
3,PICARD,   I'm quite sure your experience   aboard the Pagh will prove   invaluable during the commander's   tour. Be sure that the crew is   prepared for any... unusual   orders.,2    INT. CORRIDOR,CORRIDOR,INT.,Sins of the Father,1990-01-05,The Next Generation,165.txt
4,RIKER,"   The Klingons are very thorough,   Captain. I'm sure Commander Kurn   has studied for his assignment   with us just as I studied to serve   with them.",2    INT. CORRIDOR,CORRIDOR,INT.,Sins of the Father,1990-01-05,The Next Generation,165.txt
5,PICARD,       I understand that he specifically   requested the Enterprise...,2    INT. CORRIDOR,CORRIDOR,INT.,Sins of the Father,1990-01-05,The Next Generation,165.txt
6,TECHNICIAN,"   Commander Kurn is ready for   transport, Captain.",3    INT. TRANSPORTER ROOM (OPTICAL),TRANSPORTER ROOM,INT.,Sins of the Father,1990-01-05,The Next Generation,165.txt
7,PICARD,   Energize.,3    INT. TRANSPORTER ROOM (OPTICAL),TRANSPORTER ROOM,INT.,Sins of the Father,1990-01-05,The Next Generation,165.txt
8,PICARD,"   Welcome aboard the Enterprise,   Commander. I am Captain Picard.",3    INT. TRANSPORTER ROOM (OPTICAL),TRANSPORTER ROOM,INT.,Sins of the Father,1990-01-05,The Next Generation,165.txt
9,KURN,"   Thank... you, Captain. I am ready   for duty.",3    INT. TRANSPORTER ROOM (OPTICAL),TRANSPORTER ROOM,INT.,Sins of the Father,1990-01-05,The Next Generation,165.txt
10,PICARD,   This is Commander William Riker   who will be yielding the first   officer's position to you during   your tour...,3    INT. TRANSPORTER ROOM (OPTICAL),TRANSPORTER ROOM,INT.,Sins of the Father,1990-01-05,The Next Generation,165.txt
11,KURN,"       You are relieved.       May I take my station, Captain?",3    INT. TRANSPORTER ROOM (OPTICAL),TRANSPORTER ROOM,INT.,Sins of the Father,1990-01-05,The Next Generation,165.txt
12,RIKER,   I thought that I might show you   your quarters...,3    INT. TRANSPORTER ROOM (OPTICAL),TRANSPORTER ROOM,INT.,Sins of the Father,1990-01-05,The Next Generation,165.txt
13,KURN,"       I am ready for duty, sir. I ask   that I be allowed to take my   station.",3    INT. TRANSPORTER ROOM (OPTICAL),TRANSPORTER ROOM,INT.,Sins of the Father,1990-01-05,The Next Generation,165.txt
14,PICARD,   Very well... If you will   accompany us to the bridge...,3    INT. TRANSPORTER ROOM (OPTICAL),TRANSPORTER ROOM,INT.,Sins of the Father,1990-01-05,The Next Generation,165.txt
15,PICARD,   May I present your bridge crew...,4    INT. MAIN BRIDGE,MAIN BRIDGE,INT.,Sins of the Father,1990-01-05,The Next Generation,165.txt
16,KURN,"   Unnecessary, Captain. I am   prepared to take command.",4    INT. MAIN BRIDGE,MAIN BRIDGE,INT.,Sins of the Father,1990-01-05,The Next Generation,165.txt
17,PICARD,       Proceed.,4    INT. MAIN BRIDGE,MAIN BRIDGE,INT.,Sins of the Father,1990-01-05,The Next Generation,165.txt
18,KURN,"       I am Kurn, commander rank, Klingon   Defense Force. You will address   me as ""Commander"" or ""sir"" at all   times.",4    INT. MAIN BRIDGE,MAIN BRIDGE,INT.,Sins of the Father,1990-01-05,The Next Generation,165.txt
19,KURN,   I am fully aware of all Starfleet   regulations. They will be   strictly adhered to by all   personnel while I am in command.   It is my intention to bring a   sense of discipline that you may   not be accustomed to.,4    INT. MAIN BRIDGE,MAIN BRIDGE,INT.,Sins of the Father,1990-01-05,The Next Generation,165.txt
20,KURN,"       With your permission, of course,   Captain.",4    INT. MAIN BRIDGE,MAIN BRIDGE,INT.,Sins of the Father,1990-01-05,The Next Generation,165.txt
21,PICARD,"   By all means, Commander.",4    INT. MAIN BRIDGE,MAIN BRIDGE,INT.,Sins of the Father,1990-01-05,The Next Generation,165.txt
22,KURN,"   Do you wish to speak, Acting   Ensign Wesley Crusher?",4    INT. MAIN BRIDGE,MAIN BRIDGE,INT.,Sins of the Father,1990-01-05,The Next Generation,165.txt
23,WESLEY,"   Nosir, Commander, sir.",4    INT. MAIN BRIDGE,MAIN BRIDGE,INT.,Sins of the Father,1990-01-05,The Next Generation,165.txt
24,KURN,"       I have studied all your service   records. Impressive. We shall   see if you live up to your   reputations. The crew awaits your   orders, Captain.",4    INT. MAIN BRIDGE,MAIN BRIDGE,INT.,Sins of the Father,1990-01-05,The Next Generation,165.txt
25,PICARD,"       Take us into the outer cometary   cloud, Commander.",4    INT. MAIN BRIDGE,MAIN BRIDGE,INT.,Sins of the Father,1990-01-05,The Next Generation,165.txt
26,KURN,"       Set course one-one-four, mark   two-three-zero, one-third impulse   power!",4    INT. MAIN BRIDGE,MAIN BRIDGE,INT.,Sins of the Father,1990-01-05,The Next Generation,165.txt
27,WESLEY,       Aye sir.,4    INT. MAIN BRIDGE,MAIN BRIDGE,INT.,Sins of the Father,1990-01-05,The Next Generation,165.txt
28,KURN,   Execute!       Execute!,4    INT. MAIN BRIDGE,MAIN BRIDGE,INT.,Sins of the Father,1990-01-05,The Next Generation,165.txt
29,WESLEY,"       Engaged. Increasing to one-third   impulse power, sir.",4    INT. MAIN BRIDGE,MAIN BRIDGE,INT.,Sins of the Father,1990-01-05,The Next Generation,165.txt
30,RIKER,   Mind if I join you?,7    INT. TEN FORWARD,TEN FORWARD,INT.,Sins of the Father,1990-01-05,The Next Generation,165.txt
31,WESLEY,"   No, sir.",7    INT. TEN FORWARD,TEN FORWARD,INT.,Sins of the Father,1990-01-05,The Next Generation,165.txt
